Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),Thermocouple 5 (deg C),Thermocouple 6 (deg C),Thermocouple 7 (deg C),Thermocouple 8 (deg C),Thermocouple 9 (deg C),Thermocouple 10 (deg C),Thermocouple 11 (deg C),Thermocouple 12 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),CHT L TEMPERATURE (deg C),AILERN POSITION (%),ELEV POSITION (%),FUEL PRESSURE (PSI),F PUMP CONTACT (V),GEN CONTACT (V),CANOPY CONTACT (V),CHT R TEMPERATURE (deg C),LEFT LEVEL (gal),RIGHT LEVEL (gal),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),FLAPS POSITION (deg),Contacts,Percent Power,EGT Leaning State,
36.56,1,4,2018-07-27 08:29:59,+43.50294,+5.37162,605,0.0,0.0,-1.7,,,,,08:29:59,+4.6,+0.9,132.0,0.0,+376,+0.1,+0.02,+1.0,,-11,+31,0.0,29.89,+2399,,,324,,60.0,+0,,1,1,,,,,,,,,,,,,,,,,,,4,+26,0,0,30.5,0.0,0.0,0.0,11.8,10.1,21.8,12.3,,-2.3,2401.0,2379.6,,,,,,,,,,,,,,,+26.0,+12,+6,+0.0,+4.998,+0.000,+0.000,+25.3,+11.8,+10.1,+3.6,+26.2,+0,,,,
36.81,1,4,2018-07-27 08:29:59,+43.50296,+5.37167,582,0.2,0.0,-1.7,,,,,08:29:59,+4.6,+0.9,132.1,0.0,+376,+0.1,+0.01,+1.0,,+2,+31,0.0,29.89,+2399,,,324,,60.0,+0,,1,1,,,,,,,,,,,,,,,,,,,4,+26,0,0,30.5,0.0,0.0,0.0,11.8,10.1,21.8,12.3,,-2.4,2401.0,2379.6,,,,,,,,,,,,,,,+26.0,+12,+6,+0.0,+4.998,+0.000,+0.000,+25.3,+11.8,+10.1,+3.7,+26.2,+0,,,,
37.06,1,4,2018-07-27 08:29:59,+43.50297,+5.37164,586,0.1,0.0,-1.7,,,,,08:29:59,+4.6,+0.9,132.0,0.0,+376,+0.1,+0.01,+1.0,,+2,+31,0.0,29.89,+2399,,,324,,60.0,+0,,1,1,,,,,,,,,,,,,,,,,,,4,+26,0,0,30.5,0.0,0.0,0.0,11.8,10.2,21.8,12.2,,-2.4,2401.0,2379.6,,,,,,,,,,,,,,,+26.0,+12,+7,+0.0,+4.998,+0.000,+0.000,+25.3,+11.8,+10.2,+3.7,+26.2,+0,,,,
37.31,1,4,2018-07-27 08:30:00,+43.50300,+5.37159,599,0.0,0.0,-1.7,,,,,08:29:59,+4.6,+0.9,132.0,0.0,+376,+0.1,+0.01,+1.0,,+10,+31,0.0,29.89,+2399,,,324,,60.0,+0,,1,1,,,,,,,,,,,,,,,,,,,4,+26,0,0,30.5,0.0,0.0,0.0,11.8,10.2,21.8,12.2,,-2.3,2401.0,2379.6,,,,,,,,,,,,,,,+26.0,+12,+7,+0.0,+4.998,+0.000,+0.000,+25.3,+11.8,+10.2,+3.7,+26.2,+0,,,,
37.56,1,4,2018-07-27 08:30:00,+43.50298,+5.37157,611,0.0,0.0,-1.7,,,,,08:30:00,+4.6,+1.0,132.1,0.0,+376,+0.1,+0.01,+1.0,,+12,+31,0.0,29.89,+2399,,,324,,60.0,+0,,1,1,,,,,,,,,,,,,,,,,,,4,+26,0,0,30.5,0.0,0.0,0.0,11.8,10.2,21.8,12.2,,-2.3,2401.0,2379.6,,,,,,,,,,,,,,,+26.0,+12,+7,+0.0,+4.998,+0.000,+0.000,+25.3,+11.8,+10.2,+3.6,+26.2,+0,,,,
37.81,1,4,2018-07-27 08:30:00,+43.50296,+5.37159,609,0.0,0.0,-1.7,,,,,08:30:00,+4.6,+1.0,132.1,0.0,+376,+0.1,+0.01,+1.0,,+13,+31,0.0,29.89,+2399,,,324,,60.0,+0,,1,1,,,,,,,,,,,,,,,,,,,4,+26,0,0,30.5,0.0,0.0,0.0,11.8,10.2,21.8,12.2,,-2.3,2401.0,2379.6,,,,,,,,,,,,,,,+26.0,+12,+7,+0.0,+4.998,+0.000,+0.000,+25.3,+11.8,+10.2,+3.6,+26.2,+0,,,,
38.06,1,4,2018-07-27 08:30:00,+43.50296,+5.37157,611,0.0,0.0,-1.7,,,,,08:30:00,+4.6,+1.0,132.1,0.0,+376,+0.1,+0.01,+1.0,,+14,+31,0.0,29.89,+2399,,,324,,60.0,+0,,1,1,,,,,,,,,,,,,,,,,,,4,+26,0,0,30.5,0.0,0.0,0.0,11.8,10.3,21.8,12.2,,-2.4,2401.0,2379.6,,,,,,,,,,,,,,,+26.0,+12,+7,+0.0,+4.998,+0.000,+0.000,+25.3,+11.8,+10.3,+3.6,+26.2,+0,,,,
38.31,1,4,2018-07-27 08:30:01,+43.50296,+5.37160,608,0.0,0.0,-1.7,,,,,08:30:00,+4.6,+1.0,132.1,0.0,+376,+0.1,+0.01,+1.0,,+14,+31,0.0,29.89,+2399,,,324,,60.0,+0,,1,1,,,,,,,,,,,,,,,,,,,4,+26,0,0,30.5,0.0,0.0,0.0,11.8,10.3,21.8,12.2,,-2.4,2401.0,2379.6,,,,,,,,,,,,,,,+26.0,+12,+7,+0.0,+4.998,+0.000,+0.000,+25.3,+11.8,+10.3,+3.6,+26.2,+0,,,,
38.56,1,4,2018-07-27 08:30:01,+43.50296,+5.37161,607,0.0,0.0,-1.7,,,,,08:30:01,+4.6,+0.9,132.0,0.0,+376,+0.0,+0.01,+1.0,,+18,+31,0.0,29.89,+2399,,,324,,60.0,+0,,1,1,,,,,,,,,,,,,,,,,,,4,+26,0,0,30.5,0.0,0.0,0.0,11.8,10.3,21.8,12.2,,-2.3,2401.0,2379.6,,,,,,,,,,,,,,,+26.0,+12,+6,+0.0,+4.998,+0.000,+0.000,+25.3,+11.8,+10.3,+3.6,+26.2,+0,,,,
38.81,1,4,2018-07-27 08:30:01,+43.50296,+5.37161,609,0.0,0.0,-1.7,,,,,08:30:01,+4.6,+0.9,132.0,0.0,+376,+0.0,+0.01,+1.0,,+20,+31,0.0,29.89,+2399,,,324,,60.0,+0,,1,1,,,,,,,,,,,,,,,,,,,4,+26,0,0,30.5,0.0,0.0,0.0,11.8,10.3,21.8,12.2,,-2.3,2401.0,2379.6,,,,,,,,,,,,,,,+26.0,+12,+6,+0.0,+4.998,+0.000,+0.000,+25.3,+11.8,+10.3,+3.7,+26.2,+0,,,,
